Doctor's Name,Speciality,Keywords,Experience (Years),Rating,Location,Treated_Diseases,Phone,Email
Dr. Manoj Verma,Dermatologist,"Pemphigus, Bullous Pemphigoid, Lupus Erythematosus",25,4.7,Kolkata,"Scleroderma, Dermatomyositis, Vasculitis",+91 95432 10954,manoj.verma@skinsolutions.in
Dr. Deepika Sharma,Neurologist,"Spinal Muscular Atrophy, Charcot-Marie-Tooth Disease",9,4.0,Hyderabad,"Progressive Supranuclear Palsy, Lewy Body Dementia, Frontotemporal Dementia",+91 94321 09843,deepika.sharma@brainclinic.com
Dr. Saurabh Patel,Orthopedist,"Rotator Cuff Tear, ACL Tear, Meniscus Tear",11,4.3,Pune,"Hammer Toe, Bunion, Gout",+91 93210 98732,saurabh.patel@orthopediccare.com
Dr. Gayatri Iyer,Gynecologist,"Vaginal Prolapse, Uterine Prolapse, Cystocele",14,4.6,Ahmedabad,"Rectocele, Stress Incontinence, Overactive Bladder (women)",+91 92109 87621,gayatri.iyer@womenshealth.in
Dr. Sameer Kumar,Gastroenterologist,"Microscopic Colitis, Eosinophilic Esophagitis, Achalasia",20,4.8,Jaipur,"Short Bowel Syndrome, Whipple's Disease, Autoimmune Hepatitis",+91 91098 76510,sameer.kumar@digestivecare.com
Dr. Neeti Joshi,Endocrinologist,"Hyperaldosteronism, Pheochromocytoma, Conn's Syndrome",7,4.1,Lucknow,"Nelson's Syndrome, Empty Sella Syndrome, McCune-Albright Syndrome",+91 90987 65409,neeti.joshi@hormoneclinic.com
Dr. Rohit Sharma,Pulmonologist,"Alpha-1 Antitrypsin Deficiency, Cystic Fibrosis (adult), Primary Ciliary Dyskinesia",16,4.4,Mumbai,"Bronchiolitis Obliterans, Pulmonary Hypertension, Chronic Thromboembolic Pulmonary Hypertension (CTEPH)",+91 98765 43177,rohit.sharma@lungcare.com
Dr. Sneha Patel,Ophthalmologist,"Uveitis, Scleritis, Orbital Cellulitis",22,4.9,Delhi,"Optic Neuritis, Ischemic Optic Neuropathy, Retinoblastoma",+91 99887 76611,sneha.patel@eyecare.com
Dr. Vikas Kumar,Urologist,"Kidney Failure, Hematuria, Hydronephrosis",12,4.5,Bangalore,"Nephrotic Syndrome, Nephritis, Renovascular Hypertension",+91 97654 32165,vikas.kumar@urologyclinic.com
Dr. Maya Iyer,Pediatrician,"Prematurity, Neonatal Jaundice, Respiratory Distress Syndrome",8,4.3,Chennai,"Bronchiolitis, Croup, Fifth Disease",+91 96543 21054,maya.iyer@kidshealth.com
Dr. Divya Khanna,Cardiologist,"Fatigue, Dizziness, Swelling, Angina",5,4.0,Kolkata,"Valve Stenosis, Valve Regurgitation, Endocarditis",+91 95432 10943,divya.khanna@heartcare.com
Dr. Arun Sharma,Dermatologist,"Skin Cancer Screening, Moles, Sun Damage",30,4.6,Hyderabad,"Radiation Dermatitis, Pressure Ulcers, Lipomas",+91 94321 09832,arun.sharma@skinsolutions.in
Dr. Shreya Verma,Neurologist,"Epilepsy, Multiple Sclerosis, Head Trauma",18,4.2,Pune,"Spinal Cord Tumors, Encephalitis, Meningitis",+91 93210 98721,shreya.verma@brainclinic.com
Dr. Ganesh Patel,Orthopedist,"Arthritis, Joint Replacement, Bone Tumors",14,4.7,Ahmedabad,"Osteomyelitis, Osteonecrosis, Chondrosarcoma",+91 92109 87610,ganesh.patel@orthopediccare.com
Dr. Lakshmi Nair,Gynecologist,"Family Planning, Menstrual Disorders, Fibroids",22,4.9,Jaipur,"Pelvic Pain, Asherman's Syndrome, Müllerian Anomalies",+91 91098 76509,lakshmi.nair@womenshealth.in
Dr. Rohit Joshi,Gastroenterologist,"Inflammatory Bowel Disease (IBD), Colon Cancer, Liver Cirrhosis",10,4.5,Lucknow,"Diverticulitis, Hemorrhoids, Fecal Incontinence",+91 90987 65398,rohit.joshi@digestivecare.com
Dr. Anjali Singh,Endocrinologist,"Diabetes Management, Thyroid Nodules, Adrenal Gland Disorders",6,4.1,Mumbai,"Congenital Adrenal Hyperplasia, Growth Disorders, Multiple Endocrine Neoplasia (MEN)",+91 98765 43166,anjali.singh@hormoneclinic.com
Dr. Vijay Kumar,Pulmonologist,"Sleep Apnea, Pulmonary Hypertension, Lung Infections",12,4.3,Delhi,"Acute Respiratory Distress Syndrome (ARDS), Histoplasmosis, Coccidioidomycosis",+91 99887 76600,vijay.kumar@lungcare.com
Dr. Priya Reddy,Ophthalmologist,"Diabetic Retinopathy, Glaucoma, Macular Degeneration",19,4.8,Bangalore,"Retinal Vein Occlusion, Central Serous Retinopathy, Epiretinal Membrane",+91 97654 32154,priya.reddy@eyecare.com
Dr. Sanjay Iyer,Urologist,"Kidney Stones, Prostate Cancer, Bladder Infections",8,4.6,Chennai,"Testicular Torsion, Peyronie's Disease, Interstitial Cystitis",+91 96543 21043,sanjay.iyer@urologyclinic.com
Dr. Meera Sharma,Pediatrician,"Newborn Care, Childhood Vaccinations, Developmental Assessments",15,4.4,Kolkata,"Failure to Thrive, SIDS (Sudden Infant Death Syndrome), Intussusception",+91 95432 10932,meera.sharma@kidshealth.com
Dr. Vivek Patel,Cardiologist,"Chest Pain, Shortness of Breath, Palpitations, High Blood Pressure",25,4.7,Hyderabad,"Coronary Angiography, Angioplasty, Stenting",+91 94321 09821,vivek.patel@heartcare.com
Dr. Deepa Joshi,Dermatologist,"Eczema, Psoriasis, Acne, Rosacea",3,3.9,Pune,"Alopecia Areata, Lichen Planus, Hidradenitis Suppurativa",+91 93210 98710,deepa.joshi@skinsolutions.in
Dr. Arvind Kumar,Neurologist,"Headaches, Migraines, Stroke, Seizures",11,4.2,Ahmedabad,"Trigeminal Neuralgia, Restless Legs Syndrome, Dystonia",+91 92109 87609,arvind.kumar@brainclinic.com
Dr. Lakshmi Verma,Orthopedist,"Back Pain, Knee Pain, Shoulder Pain, Hip Pain",27,4.9,Jaipur,"Total Hip Replacement, Total Knee Replacement, Arthroscopic Surgery",+91 91098 76498,lakshmi.verma@orthopediccare.com
Dr. Rohit Nair,Gynecologist,"Pregnancy Care, Labor and Delivery, Postpartum Care",7,4.0,Lucknow,"Cesarean Section, Ectopic Pregnancy, Molar Pregnancy",+91 90987 65387,rohit.nair@womenshealth.in
Dr. Anjali Gupta,Gastroenterologist,"Diarrhea, Constipation, Abdominal Pain, Bloating",17,4.5,Mumbai,"Colonoscopy, Endoscopy, ERCP",+91 98765 43155,anjali.gupta@digestivecare.com
Dr. Vijay Singh,Endocrinologist,"Diabetes, Thyroid Disorders, Hormone Imbalances, PCOS",9,4.3,Delhi,"Gestational Diabetes, Cushing's Disease, Addison's Disease",+91 99887 76599,vijay.singh@hormoneclinic.com
Dr. Priya Patel,Pulmonologist,"Asthma, COPD, Bronchitis, Pneumonia",13,4.6,Bangalore,"Pulmonary Function Tests, Bronchoscopy, Thoracentesis",+91 97654 32143,priya.patel@lungcare.com
Dr. Sanjay Khanna,Ophthalmologist,"Cataracts, Glaucoma, Diabetic Retinopathy, Macular Degeneration",20,4.8,Chennai,"LASIK, Corneal Transplants, Vitrectomy",+91 96543 21032,sanjay.khanna@eyecare.com
Dr. Meera Verma,Urologist,"Urinary Incontinence, Kidney Stones, Prostate Enlargement, UTI",5,4.1,Kolkata,"Cystoscopy, Lithotripsy, TURP",+91 95432 10921,meera.verma@urologyclinic.com
Dr. Vivek Sharma,Pediatrician,"Childhood Illnesses, Vaccinations, Growth and Development",11,4.4,Hyderabad,"Developmental Milestones, Behavioral Issues, Feeding Problems",+91 94321 09810,vivek.sharma@kidshealth.com
Dr. Deepa Iyer,Cardiologist,"Heart Failure, Arrhythmias, Valve Disease, Coronary Artery Disease",29,5.0,Pune,"Echocardiography, Electrocardiogram, Holter Monitoring",+91 93210 98709,deepa.iyer@heartcare.com
Dr. Arvind Patel,Dermatologist,"Warts, Moles, Skin Tags, Cysts",16,4.7,Ahmedabad,"Cryotherapy, Excision, Laser Treatment",+91 92109 87598,arvind.patel@skinsolutions.in
Dr. Lakshmi Kumar,Neurologist,"Parkinson's Disease, Alzheimer's Disease, Multiple Sclerosis, ALS",4,3.5,Jaipur,"EEG, EMG, Nerve Conduction Studies",+91 91098 76487,lakshmi.kumar@brainclinic.com
Dr. Rohit Reddy,Orthopedist,"Fractures, Sprains, Strains, Dislocations",10,4.2,Lucknow,"Casting, Splinting, Bracing",+91 90987 65376,rohit.reddy@orthopediccare.com
Dr. Anjali Nair,Gynecologist,"PCOS, Infertility, Menopause, Endometriosis",12,4.5,Mumbai,"IVF, IUI, Egg Freezing",+91 98765 43144,anjali.nair@womenshealth.in
Dr. Vijay Joshi,Gastroenterologist,"GERD, IBS, Crohn's Disease, Ulcerative Colitis",23,4.9,Delhi,"Barium Swallow, Capsule Endoscopy, Manometry",+91 99887 76588,vijay.joshi@digestivecare.com
Dr. Priya Sharma,Endocrinologist,"Osteoporosis, Growth Hormone Deficiency, Thyroid Cancer, Parathyroid Disorders",6,4.0,Bangalore,"Fine Needle Aspiration (FNA), Radioiodine Therapy, Bone Density Scan",+91 97654 32132,priya.sharma@hormoneclinic.com
Dr. Sanjay Patel,Pulmonologist,"COPD, Asthma, Bronchiectasis, Cystic Fibrosis",35,4.8,Chennai,"Lung Volume Reduction Surgery, Lung Transplant, Interventional Pulmonology",+91 96543 21021,sanjay.patel@lungcare.com
Dr. Meera Khanna,Ophthalmologist,"Retinal Detachment, Macular Holes, Epiretinal Membranes, Floaters",14,4.6,Kolkata,"Scleral Buckling, Pneumatic Retinopexy, Pars Plana Vitrectomy (PPV)",+91 95432 10910,meera.khanna@eyecare.com
Dr. Vivek Verma,Urologist,"Bladder Cancer, Kidney Cancer, Testicular Cancer, Prostate Cancer",32,4.7,Hyderabad,"Radical Cystectomy, Nephrectomy, Orchiectomy, Prostatectomy",+91 94321 09809,vivek.verma@urologyclinic.com
Dr. Deepa Singh,Pediatrician,"Genetic Disorders, Congenital Anomalies, Metabolic Diseases",18,4.3,Pune,"Chromosomal Microarray Analysis, Newborn Screening, Gene Therapy",+91 93210 98698,deepa.singh@kidshealth.com
Dr. Rohan Iyer,Cardiologist,"Mitral Valve Prolapse, Aortic Stenosis, Tricuspid Regurgitation",7,3.8,Ahmedabad,"Balloon Valvuloplasty, Valve Repair, Valve Replacement",+91 92109 87587,rohan.iyer@heartcare.com
Dr. Sunita Sharma,Dermatologist,"Allergic Contact Dermatitis, Irritant Contact Dermatitis, Seborrheic Dermatitis",13,4.4,Jaipur,"Patch Testing, Phototherapy, Topical Steroids",+91 91098 76476,sunita.sharma@skinsolutions.in
Dr. Karthik Kumar,Neurologist,"Essential Tremor, Myoclonus, Tic Disorders",21,4.5,Lucknow,"Botulinum Toxin Injections, Deep Brain Stimulation, Medications",+91 90987 65365,karthik.kumar@brainclinic.com
Dr. Ananya Patel,Orthopedist,"Spinal Stenosis, Spondylolisthesis, Degenerative Disc Disease",9,4.1,Mumbai,"Laminectomy, Spinal Fusion, Microdiscectomy",+91 98765 43133,ananya.patel@orthopediccare.com
Dr. Vikram Joshi,Gynecologist,"Premenstrual Syndrome (PMS), Dysmenorrhea, Amenorrhea",26,4.9,Delhi,"Hormonal Therapy, Pain Management, Surgical Interventions",+91 99887 76577,vikram.joshi@womenshealth.in
Dr. Neha Reddy,Gastroenterologist,"Achalasia, Esophageal Spasm, Barrett's Esophagus",33,4.7,Bangalore,"Heller Myotomy, Pneumatic Dilation, Radiofrequency Ablation",+91 97654 32121,neha.reddy@digestivecare.com
Dr. Aditiya Singh,Endocrinologist,"Hypoglycemia, Hypercalcemia, Hypoparathyroidism",15,4.6,Chennai,"Continuous Glucose Monitoring, Calcium Infusion, Parathyroidectomy",+91 96543 21010,aditiya.singh@hormoneclinic.com
Dr. Smita Sharma,Pulmonologist,"Bronchiectasis, Sarcoidosis, Interstitial Lung Disease",6,4.0,Kolkata,"High-Resolution CT Scan, Bronchoalveolar Lavage, Lung Biopsy",+91 95432 10909,smita.sharma@lungcare.com
Dr. Rohan Patel,Ophthalmologist,"Uveitis, Scleritis, Retinal Vasculitis",12,4.3,Hyderabad,"Immunosuppressive Therapy, Intravitreal Injections, Laser Photocoagulation",+91 94321 09798,rohan.patel@eyecare.com
Dr. Divya Joshi,Urologist,"Overactive Bladder, Interstitial Cystitis, Pelvic Floor Dysfunction",20,4.8,Pune,"Bladder Training, Electrical Stimulation, Botox Injections",+91 93210 98687,divya.joshi@urologyclinic.com
Dr. Tarun Kumar,Pediatrician,"Eczema, Food Allergies, Anaphylaxis",1,3.7,Ahmedabad,"Allergy Testing, Epinephrine Auto-Injector Training, Dietary Management",+91 92109 87576,tarun.kumar@kidshealth.com
Dr. Priya Sharma,Cardiologist,"Chest Pain, Palpitations, High Blood Pressure, Arrhythmia",15,4.8,Mumbai,"Coronary Artery Disease, Heart Failure, Hypertension",+91 98765 43210,priya.sharma@heartcare.com
Dr. Rajesh Patel,Dermatologist,"Acne, Eczema, Psoriasis, Skin Infections, Hair Loss",22,4.5,Delhi,"Skin Cancer, Allergies, Vitiligo",+91 99887 76655,rajesh.patel@skincareclinic.com
Dr. Anjali Singh,Neurologist,"Headaches, Migraines, Seizures, Stroke, Parkinson's Disease",10,4.2,Bangalore,"Epilepsy, Multiple Sclerosis",+91 97654 32109,anjali.singh@brainhealth.com
Dr. Sanjay Kumar,Orthopedic Surgeon,"Knee Pain, Back Pain, Fractures, Arthritis",28,4.9,Chennai,"Osteoarthritis, Joint Replacements",+91 96543 21098,sanjay.kumar@orthopedicsolutions.com
Dr. Deepika Verma,Gynecologist,"Pregnancy, Infertility, PCOS, Menopause",18,4.7,Kolkata,"Endometriosis, Uterine Fibroids",+91 95432 10987,deepika.verma@womenshealth.com
Dr. Rohan Gupta,Pediatrician,"Fever, Cough, Cold, Vaccination, Childhood Diseases",8,4.6,Hyderabad,"Asthma, Chickenpox",+91 94321 09876,rohan.gupta@kidsclinic.com
Dr. Meera Iyer,Gastroenterologist,"Abdominal Pain, Bloating, Constipation, Diarrhea, Ulcers",12,4.3,Pune,"Irritable Bowel Syndrome, Crohn's Disease",+91 93210 98765,meera.iyer@digestivehealth.com
Dr. Amit Joshi,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat, Hearing Loss",14,4.4,Ahmedabad,"Tonsillitis, Vertigo",+91 92109 87654,amit.joshi@earsnosethroat.com
Dr. Shweta Reddy,Ophthalmologist,"Blurred Vision, Eye Pain, Cataracts, Glaucoma",20,4.8,Jaipur,Diabetic Retinopathy,+91 91098 76543,shweta.reddy@eyecarecenter.com
Dr. Vikram Singh,Urologist,"Kidney Stones, Urinary Tract Infections, Prostate Problems",16,4.5,Lucknow,"Erectile Dysfunction, Incontinence",+91 90987 65432,vikram.singh@urologyspecialists.com
Dr. Neha Khanna,Cardiologist,"Shortness of Breath, Chest Discomfort, High Cholesterol",7,4.1,Mumbai,"Heart Valve Disease, Cardiomyopathy",+91 98876 54321,neha.khanna@heartclinic.com
Dr. Suresh Menon,Dermatologist,"Rashes, Skin Allergies, Pigmentation",25,4.7,Delhi,"Melasma, Rosacea",+91 99765 43210,suresh.menon@dermacare.com
Dr. Divya Nair,Neurologist,"Tremors, Memory Loss, Dizziness",9,4.0,Bangalore,"Alzheimer's Disease, Peripheral Neuropathy",+91 97765 43210,divya.nair@neurocare.com
Dr. Arun Sharma,Orthopedic Surgeon,"Hip Pain, Shoulder Pain, Sports Injuries",30,4.6,Chennai,"Ligament Tears, Joint Dislocation",+91 96654 32109,arun.sharma@bonesandjoints.com
Dr. Preeti Jain,Gynecologist,"Menstrual Problems, Fibroids, Pelvic Pain",11,4.3,Kolkata,"Ovarian Cysts, Cervical Cancer Screening",+91 95543 21098,preeti.jain@gynewomenshealth.com
Dr. Karthik Rao,Pediatrician,"Growth Problems, Development Delays",6,4.8,Hyderabad,"Down Syndrome, Cerebral Palsy",+91 94432 10987,karthik.rao@childhealthcare.com
Dr. Sunita Das,Gastroenterologist,"Acid Reflux, Indigestion, Gallstones",19,4.2,Pune,"Hepatitis, Cirrhosis",+91 93321 09876,sunita.das@liverdigestive.com
Dr. Rohan Patel,ENT Specialist,"Tinnitus, Nasal Congestion, Voice Problems",13,4.9,Ahmedabad,"Deviated Septum, Sleep Apnea",+91 92210 98765,rohan.patel@headnecksurgery.com
Dr. Shilpa Verma,Ophthalmologist,"Dry Eyes, Conjunctivitis, Macular Degeneration",27,4.4,Jaipur,Retinal Detachment,+91 91109 87654,shilpa.verma@visioncenter.com
Dr. Vijay Kumar,Urologist,"Bladder Infections, Kidney Failure, Prostate Cancer",21,4.5,Lucknow,Benign Prostatic Hyperplasia,+91 90098 76543,vijay.kumar@urologyclinic.com
Dr. Smita Sharma,Cardiologist,"Irregular Heartbeat, Fatigue, Dizziness",5,3.8,Mumbai,"Angina, Aortic Stenosis",+91 98987 65432,smita.sharma@heartbest.com
Dr. Naveen Gupta,Dermatologist,"Warts, Moles, Skin Tags",35,4.9,Delhi,"Skin Biopsy, Laser Treatments",+91 99076 54321,naveen.gupta@skinsolutions.com
Dr. Lakshmi Iyer,Neurologist,"Numbness, Tingling, Muscle Weakness",17,4.1,Bangalore,"Myasthenia Gravis, Bell's Palsy",+91 97876 54321,lakshmi.iyer@neurologyspecialist.com
Dr. Praveen Kumar,Orthopedic Surgeon,"Ankle Pain, Foot Pain, Hand Pain",23,4.7,Chennai,"Carpal Tunnel Syndrome, Tendonitis",+91 96765 43210,praveen.kumar@orthodoc.com
Dr. Ritu Singh,Gynecologist,"Pre-eclampsia, Ectopic Pregnancy",14,4.4,Kolkata,"Hysterectomy, Laparoscopy",+91 95654 32109,ritu.singh@gynecare.com
Dr. Manish Verma,Pediatrician,"Allergies, Asthma, Immunization",3,4.5,Hyderabad,"Common Cold, Flu",+91 94543 21098,manish.verma@pediatriccare.com
Dr. Pooja Desai,Gastroenterologist,"Gastritis, Colon Cancer, Liver Disease",12,4.0,Pune,"Peptic Ulcer, Diverticulitis",+91 93432 10987,pooja.desai@gastroclinic.com
Dr. Amit Rana,ENT Specialist,"Swallowing Difficulty, Ear Discharge, Voice Hoarseness",26,4.6,Ahmedabad,"Laryngitis, Otitis Media",+91 92321 09876,amit.rana@entcenter.com
Dr. Sonia Patel,Ophthalmologist,"Double Vision, Eye Floaters, Retinal Problems",15,4.2,Jaipur,Age-Related Macular Degeneration,+91 91210 98765,sonia.patel@eyedoctor.com
Dr. Vivek Khanna,Urologist,"Prostate Enlargement, Bladder Control Problems",2,4.8,Lucknow,Male Infertility,+91 90109 87654,vivek.khanna@urocare.com
Dr. Anika Verma,Cardiologist,"High Blood Pressure, Atrial Fibrillation, Angina",11,4.3,Mumbai,"Heart Murmurs, Congestive Heart Failure",+91 98098 76543,anika.verma@heart.com
Dr. Siddharth Iyer,Dermatologist,"Skin Infections, Pigmentation, Wrinkles",18,4.6,Delhi,"Acne Scars, Melasma Treatment",+91 99987 65432,siddharth.iyer@dermatology.com
Dr. Priyanka Sharma,Neurologist,"Migraine, Stroke, Seizures",24,4.0,Bangalore,"Parkinson's Treatment, Epilepsy Management",+91 97987 65432,priyanka.sharma@neurology.com
Dr. Deepak Patel,Orthopedic Surgeon,"Fractures, Joint Pain, Arthritis",9,4.8,Chennai,"Hip Replacement, Knee Arthroscopy",+91 96876 54321,deepak.patel@orthopedics.com
Dr. Kavita Singh,Gynecologist,"Pregnancy, Fertility Issues, Menopause",32,4.5,Kolkata,"Fibroid Removal, Hysterectomy",+91 95765 43210,kavita.singh@gynecology.com
Dr. Rohit Verma,Pediatrician,"Fever, Cough, Cold, Infections",7,4.2,Hyderabad,"Vaccination, Childhood Diseases",+91 94654 32109,rohit.verma@pediatrics.com
Dr. Maya Joshi,Gastroenterologist,"Abdominal Pain, Diarrhea, Constipation",15,4.9,Pune,"IBS Treatment, Colonoscopy",+91 93543 21098,maya.joshi@gastroenterology.com
Dr. Sanjay Gupta,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat",29,4.4,Ahmedabad,"Tonsillectomy, Adenoidectomy",+91 92432 10987,sanjay.gupta@ent.com
Dr. Aishwarya Reddy,Ophthalmologist,"Blurred Vision, Eye Pain, Cataracts",16,4.7,Jaipur,"Lasik Surgery, Cataract Surgery",+91 91321 09876,aishwarya.reddy@ophthalmology.com
Dr. Vikram Iyer,Urologist,"Kidney Stones, Urinary Infections, Prostate Issues",4,4.1,Lucknow,"Bladder Problems, Prostate Biopsy",+91 90210 98765,vikram.iyer@urology.com
Dr. Divya Sharma,Cardiologist,"Chest Pain, Palpitations, Shortness of Breath",13,4.5,Mumbai,"Coronary Angiography, Stenting",+91 98123 45678,divya.sharma@heartdoc.com
Dr. Rahul Patel,Dermatologist,"Acne, Eczema, Psoriasis",27,4.8,Delhi,"Chemical Peels, Skin Grafting",+91 99234 56789,rahul.patel@skindoc.com
Dr. Sonali Singh,Neurologist,"Headaches, Seizures, Memory Loss",6,3.9,Bangalore,"Multiple Sclerosis Treatment, Stroke Rehabilitation",+91 97345 67890,sonali.singh@braindoc.com
Dr. Amit Kumar,Orthopedic Surgeon,"Knee Pain, Back Pain, Fractures",36,4.6,Chennai,"Joint Replacement, Arthroscopic Surgery",+91 96456 78901,amit.kumar@bonedoc.com
Dr. Priya Verma,Gynecologist,"Pregnancy, Infertility, PCOS",20,4.7,Kolkata,"IVF Treatment, Laparoscopic Surgery",+91 95567 89012,priya.verma@gynedoc.com
Dr. Rohan Gupta,Pediatrician,"Fever, Cough, Cold, Vaccinations",8,4.3,Hyderabad,"Childhood Infections, Asthma Management",+91 94678 90123,rohan.gupta@kidoc.com
Dr. Meera Iyer,Gastroenterologist,"Abdominal Pain, Bloating, Constipation",12,4.1,Pune,"Endoscopy, Colonoscopy",+91 93789 01234,meera.iyer@gutdoc.com
Dr. Amit Joshi,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat",14,4.9,Ahmedabad,"Tonsillectomy, Septoplasty",+91 92890 12345,amit.joshi@entdoc.com
Dr. Shweta Reddy,Ophthalmologist,"Blurred Vision, Eye Pain, Cataracts",20,4.4,Jaipur,"Cataract Surgery, Glaucoma Treatment",+91 91901 23456,shweta.reddy@eyecaredoc.com
Dr. Vikram Singh,Urologist,"Kidney Stones, Urinary Tract Infections, Prostate Problems",16,4.2,Lucknow,"Prostatectomy, Cystoscopy",+91 90012 34567,vikram.singh@urodoc.com
Dr. Sunita Sharma,Cardiologist,"Palpitations, Chest Pain, High Cholesterol",19,4.5,Mumbai,"Echocardiography, Angioplasty",+91 98234 56789,sunita.sharma@cardiac.com
Dr. Rajesh Khanna,Dermatologist,"Acne, Eczema, Skin Rashes",31,4.7,Delhi,"Laser Hair Removal, Botox Injections",+91 99345 67890,rajesh.khanna@skincare.com
Dr. Anjali Menon,Neurologist,"Headaches, Migraines, Dizziness",2,4.1,Bangalore,"EEG, Nerve Conduction Studies",+91 97456 78901,anjali.menon@neuro.com
Dr. Sanjay Verma,Orthopedic Surgeon,"Fractures, Sprains, Joint Pain",10,4.9,Chennai,"Arthroscopy, Joint Injections",+91 96567 89012,sanjay.verma@ortho.com
Dr. Deepika Jain,Gynecologist,"Pregnancy, Menopause, Infertility",25,4.6,Kolkata,"Hysterectomy, Ovarian Cyst Removal",+91 95678 90123,deepika.jain@gyn.com
Dr. Rohan Iyer,Pediatrician,"Fever, Cough, Cold, Vaccinations",3,4.4,Hyderabad,"Well-Child Checkups, Immunizations",+91 94789 01234,rohan.iyer@pediatric.com
Dr. Meera Das,Gastroenterologist,"Abdominal Pain, Bloating, Acid Reflux",17,4.2,Pune,"Upper Endoscopy, Colonoscopy",+91 93890 12345,meera.das@gastro.com
Dr. Amit Rana,ENT Specialist,"Ear Pain, Sinus Infections, Sore Throat",33,4.8,Ahmedabad,"Tonsillectomy, Adenoidectomy",+91 92901 23456,amit.rana@ent.com
Dr. Shweta Verma,Ophthalmologist,"Blurred Vision, Eye Pain, Glaucoma",11,4.0,Jaipur,"Cataract Surgery, LASIK",+91 91012 34567,shweta.verma@eye.com
Dr. Vikram Patel,Urologist,"Kidney Stones, Urinary Incontinence, Prostate Enlargement",7,4.7,Lucknow,"Cystoscopy, Prostate Biopsy",+91 90123 45678,vikram.patel@uro.com
Dr. Pooja Singh,Cardiologist,"Shortness of Breath, Chest Pain, Palpitations",21,4.3,Mumbai,"Stress Test, ECG",+91 98345 67890,pooja.singh@heartmd.com
Dr. Naveen Kumar,Dermatologist,"Acne, Eczema, Hair Loss",5,3.7,Delhi,"Chemical Peels, Microdermabrasion",+91 99456 78901,naveen.kumar@skinmd.com
Dr. Lakshmi Sharma,Neurologist,"Headaches, Migraines, Seizures",37,4.9,Bangalore,"EEG, EMG",+91 97567 89012,lakshmi.sharma@neuromd.com
Dr. Praveen Patel,Orthopedic Surgeon,"Knee Pain, Back Pain, Shoulder Pain",13,4.6,Chennai,"Arthroscopic Surgery, Joint Replacement",+91 96678 90123,praveen.patel@orthomd.com
Dr. Ritu Khanna,Gynecologist,"Pregnancy, Infertility, Menopause",28,4.5,Kolkata,"Hysterectomy, Ovarian Cystectomy",+91 95789 01234,ritu.khanna@gynmd.com
Dr. Manish Singh,Pediatrician,"Fever, Cough, Cold, Vaccination",9,4.2,Hyderabad,"Well-Child Exams, Immunizations",+91 94890 12345,manish.singh@pedimd.com
Dr. Pooja Iyer,Gastroenterologist,"Abdominal Pain, Diarrhea, Constipation",18,4.8,Pune,"Colonoscopy, Endoscopy",+91 93901 23456,pooja.iyer@gastromd.com
Dr. Amit Desai,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat",15,4.4,Ahmedabad,"Tonsillectomy, Adenoidectomy",+91 92012 34567,amit.desai@entmd.com
Dr. Sonia Gupta,Ophthalmologist,"Blurred Vision, Eye Pain, Cataracts",34,4.7,Jaipur,"Cataract Surgery, LASIK",+91 91123 45678,sonia.gupta@eyemd.com
Dr. Vivek Reddy,Urologist,"Kidney Stones, Urinary Infections, Prostate Problems",6,4.1,Lucknow,"Cystoscopy, Prostate Biopsy",+91 90234 56789,vivek.reddy@uromd.com
Dr. Smita Patel,Cardiologist,"Chest Pain, Palpitations, Dizziness",14,4.6,Mumbai,"ECG, Echocardiogram",+91 98456 78901,smita.patel@cardiodoc.com
Dr. Naveen Sharma,Dermatologist,"Acne, Eczema, Psoriasis",22,4.8,Delhi,"Chemical Peels, Laser Treatments",+91 99567 89012,naveen.sharma@dermdoc.com
Dr. Lakshmi Kumar,Neurologist,"Headaches, Migraines, Seizures",7,3.9,Bangalore,"EEG, MRI Brain",+91 97678 90123,lakshmi.kumar@neurodoc.com
Dr. Praveen Singh,Orthopedic Surgeon,"Knee Pain, Back Pain, Fractures",3,4.3,Chennai,"Casting, Splinting",+91 96789 01234,praveen.singh@orthodoc.com
Dr. Ritu Iyer,Gynecologist,"Pregnancy, Infertility, PCOS",26,4.5,Kolkata,"Laparoscopy, Hysterectomy",+91 95890 12345,ritu.iyer@gynedoc.com
Dr. Manish Verma,Pediatrician,"Fever, Cough, Cold, Vaccinations",19,4.7,Hyderabad,"Well Child Checks, Immunizations",+91 94901 23456,manish.verma@peddoc.com
Dr. Pooja Das,Gastroenterologist,"Abdominal Pain, Diarrhea, Constipation",10,4.2,Pune,"Endoscopy, Colonoscopy",+91 93012 34567,pooja.das@gastricdoc.com
Dr. Amit Gupta,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat",5,4.9,Ahmedabad,"Tonsillectomy, Myringotomy",+91 92123 45678,amit.gupta@entdoc.com
Dr. Sonia Verma,Ophthalmologist,"Blurred Vision, Eye Pain, Cataracts",23,4.4,Jaipur,"Cataract Surgery, Glaucoma Treatment",+91 91234 56789,sonia.verma@eyedoc.com
Dr. Vikram Khanna,Urologist,"Kidney Stones, Urinary Infections, Prostate Problems",16,4.8,Lucknow,"Cystoscopy, TURP",+91 90345 67890,vikram.khanna@urodoc.com
